Date,Sentiment Index
2018-02-05,99.7
2018-02-06,99.7
2018-02-07,99.7
2018-02-08,99.7
2018-02-09,99.7
2018-02-12,99.7
2018-02-13,99.7
2018-02-14,99.7
2018-02-15,99.7
2018-02-16,99.7
2018-02-19,99.7
2018-02-20,99.7
2018-02-21,99.7
2018-02-22,99.7
2018-02-23,99.7
2018-02-26,99.7
2018-02-27,99.7
2018-02-28,99.7
2018-03-01,101.4
2018-03-02,101.4
2018-03-05,101.4
2018-03-06,101.4
2018-03-07,101.4
2018-03-08,101.4
2018-03-09,101.4
2018-03-12,101.4
2018-03-13,101.4
2018-03-14,101.4
2018-03-15,101.4
2018-03-16,101.4
2018-03-19,101.4
2018-03-20,101.4
2018-03-21,101.4
2018-03-22,101.4
2018-03-23,101.4
2018-03-26,101.4
2018-03-27,101.4
2018-03-28,101.4
2018-03-29,101.4
2018-03-30,101.4
2018-04-02,98.8
2018-04-03,98.8
2018-04-04,98.8
2018-04-05,98.8
2018-04-06,98.8
2018-04-09,98.8
2018-04-10,98.8
2018-04-11,98.8
2018-04-12,98.8
2018-04-13,98.8
2018-04-16,98.8
2018-04-17,98.8
2018-04-18,98.8
2018-04-19,98.8
2018-04-20,98.8
2018-04-23,98.8
2018-04-24,98.8
2018-04-25,98.8
2018-04-26,98.8
2018-04-27,98.8
2018-04-30,98.8
2018-05-01,98.0
2018-05-02,98.0
2018-05-03,98.0
2018-05-04,98.0
2018-05-07,98.0
2018-05-08,98.0
2018-05-09,98.0
2018-05-10,98.0
2018-05-11,98.0
2018-05-14,98.0
2018-05-15,98.0
2018-05-16,98.0
2018-05-17,98.0
2018-05-18,98.0
2018-05-21,98.0
2018-05-22,98.0
2018-05-23,98.0
2018-05-24,98.0
2018-05-25,98.0
2018-05-28,98.0
2018-05-29,98.0
2018-05-30,98.0
2018-05-31,98.0
2018-06-01,98.2
2018-06-04,98.2
2018-06-05,98.2
2018-06-06,98.2
2018-06-07,98.2
2018-06-08,98.2
2018-06-11,98.2
2018-06-12,98.2
2018-06-13,98.2
2018-06-14,98.2
2018-06-15,98.2
2018-06-18,98.2
2018-06-19,98.2
2018-06-20,98.2
2018-06-21,98.2
2018-06-22,98.2
2018-06-25,98.2
2018-06-26,98.2
2018-06-27,98.2
2018-06-28,98.2
2018-06-29,98.2
2018-07-02,97.9
2018-07-03,97.9
2018-07-04,97.9
2018-07-05,97.9
2018-07-06,97.9
2018-07-09,97.9
2018-07-10,97.9
2018-07-11,97.9
2018-07-12,97.9
2018-07-13,97.9
2018-07-16,97.9
2018-07-17,97.9
2018-07-18,97.9
2018-07-19,97.9
2018-07-20,97.9
2018-07-23,97.9
2018-07-24,97.9
2018-07-25,97.9
2018-07-26,97.9
2018-07-27,97.9
2018-07-30,97.9
2018-07-31,97.9
2018-08-01,96.2
2018-08-02,96.2
2018-08-03,96.2
2018-08-06,96.2
2018-08-07,96.2
2018-08-08,96.2
2018-08-09,96.2
2018-08-10,96.2
2018-08-13,96.2
2018-08-14,96.2
2018-08-15,96.2
2018-08-16,96.2
2018-08-17,96.2
2018-08-20,96.2
2018-08-21,96.2
2018-08-22,96.2
2018-08-23,96.2
2018-08-24,96.2
2018-08-27,96.2
2018-08-28,96.2
2018-08-29,96.2
2018-08-30,96.2
2018-08-31,96.2
2018-09-03,100.1
2018-09-04,100.1
2018-09-05,100.1
2018-09-06,100.1
2018-09-07,100.1
2018-09-10,100.1
2018-09-11,100.1
2018-09-12,100.1
2018-09-13,100.1
2018-09-14,100.1
2018-09-17,100.1
2018-09-18,100.1
2018-09-19,100.1
2018-09-20,100.1
2018-09-21,100.1
2018-09-24,100.1
2018-09-25,100.1
2018-09-26,100.1
2018-09-27,100.1
2018-09-28,100.1
2018-10-01,98.6
2018-10-02,98.6
2018-10-03,98.6
2018-10-04,98.6
2018-10-05,98.6
2018-10-08,98.6
2018-10-09,98.6
2018-10-10,98.6
2018-10-11,98.6
2018-10-12,98.6
2018-10-15,98.6
2018-10-16,98.6
2018-10-17,98.6
2018-10-18,98.6
2018-10-19,98.6
2018-10-22,98.6
2018-10-23,98.6
2018-10-24,98.6
2018-10-25,98.6
2018-10-26,98.6
2018-10-29,98.6
2018-10-30,98.6
2018-10-31,98.6
2018-11-01,97.5
2018-11-02,97.5
2018-11-05,97.5
2018-11-06,97.5
2018-11-07,97.5
2018-11-08,97.5
2018-11-09,97.5
