Dates,SPX Index,LBUSTRUU Index
10/14/2002,1393.17,#N/A
10/15/2002,1463.86,862.87
10/16/2002,1426.28,861.54
10/17/2002,1460.35,858.7
10/18/2002,1469.57,858.69
10/21/2002,1496.77,856.57
10/22/2002,1479.81,856.2
10/23/2002,1490.45,856.6
10/24/2002,1466.26,859.94
10/25/2002,1493.15,862.29
10/28/2002,1479.98,864.2
10/29/2002,1465.8,869.33
10/30/2002,1481.26,869.14
10/31/2002,1472.77,871.18
11/1/2002,1499.76,869.45
11/4/2002,1512.9,868.61
11/5/2002,1525.45,868.21
11/6/2002,1540.67,870.5
11/7/2002,1503.53,875.55
11/8/2002,1489.59,876.9
11/11/2002,1456.63,#N/A
11/12/2002,1468.7,876.77
11/13/2002,1468.5,877.53
11/14/2002,1507.34,873.26
11/15/2002,1517.35,873.64
11/18/2002,1500.59,875.35
11/19/2002,1494.15,876.54
11/20/2002,1525.23,873.39
11/21/2002,1560.19,871.65
11/22/2002,1554.5,870.5
11/25/2002,1558.67,870.52
11/26/2002,1524.2,874.02
11/27/2002,1569.79,868.79
11/28/2002,#N/A,#N/A
11/29/2002,1565.34,870.92
12/2/2002,1562.19,871.1
12/3/2002,1537.7,871.02
12/4/2002,1532.58,873.1
12/5/2002,1513.04,875.05
12/6/2002,1523.2,876.22
12/9/2002,1487.24,877.92
12/10/2002,1509.43,878.2
12/11/2002,1510.68,880.61
12/12/2002,1504.77,880.65
12/13/2002,1483.24,879.52
12/16/2002,1520.52,877.77
12/17/2002,1507.37,878.86
12/18/2002,1486.37,881.54
12/19/2002,1474.46,884.91
12/20/2002,1494.94,884.97
12/23/2002,1497.85,884.62
12/24/2002,1489.13,886.3
12/25/2002,#N/A,#N/A
12/26/2002,1484.12,887.07
12/27/2002,1459.4,890.51
12/30/2002,1466.55,891.8
12/31/2002,1467.5,890.98
1/1/2003,#N/A,#N/A
1/2/2003,1519.7,884.03
1/3/2003,1518.91,884.35
1/6/2003,1555.3,884.17
1/7/2003,1544.54,886.33
1/8/2003,1521.9,888.27
1/9/2003,1553.42,882.28
1/10/2003,1553.4,882.68
1/13/2003,1551.17,884.41
1/14/2003,1560.8,886.16
1/15/2003,1537.1,887.3
1/16/2003,1530.67,887.16
1/17/2003,1507.82,888.93
1/20/2003,#N/A,#N/A
1/21/2003,1482.58,890.14
1/22/2003,1466.22,891.95
1/23/2003,1482.24,890.93
1/24/2003,1436,892.57
1/27/2003,1411.18,890.83
1/28/2003,1430.9,890.52
1/29/2003,1441.56,889
1/30/2003,1406.65,890.73
1/31/2003,1426.43,891.82
2/3/2003,1434.69,891.83
2/4/2003,1413.08,893.95
2/5/2003,1405.18,891.69
2/6/2003,1395.92,894.01
2/7/2003,1380.84,895.16
2/10/2003,1392.1,893.57
2/11/2003,1380.07,894.18
