,Dates,SPX Index,LBUSTRUU Index,SPGSCI Index,RMSG Index,LP01TREU Index,TWSE Index,IBOV Index,SASEIDX Index,NKY Index,MXDK Index,SMI Index,VNINDEX Index,SPX Index Daily Returns,LBUSTRUU Index Daily Returns,SPGSCI Index Daily Returns,RMSG Index Daily Returns,LP01TREU Index Daily Returns,TWSE Index Daily Returns,IBOV Index Daily Returns,SASEIDX Index Daily Returns,NKY Index Daily Returns,MXDK Index Daily Returns,SMI Index Daily Returns,VNINDEX Index Daily Returns
3992,2015-11-17,4651.32,1616.31,32.14,738.21,258.23,2347.9,552.12,406.67,645.84,7614.75,1357.83,419.08,-0.0011510346427069384,0.0009536961920273423,-0.04002389486260438,0.0004879040455376682,0.0033025099075298936,0.01682510123210834,0.015337084850491012,-0.007783145464304919,0.012129760225670028,0.016462833481502903,0.021370221600397032,-0.010249870105332848
3993,2015-11-18,4728.49,1616.09,32.59,745.96,258.5,2329.47,557.96,409.36,645.94,7588.57,1358.62,417.92,0.016590989224564145,-0.00013611250317080437,0.014001244555071679,0.010498367673155373,0.0010455795221313569,-0.007849567698794746,0.010577410707817148,0.006614699879509134,0.00015483711135888534,-0.0034380642831347563,0.0005818106832224945,-0.0027679679297507587
3994,2015-11-19,4723.28,1618.35,32.76,748.71,258.72,2386.08,577.95,415.27,657.93,7681.68,1367.11,416.5,-0.0011018316629621827,0.0013984369682380482,0.005216324025774544,0.0036865247466351114,0.0008510638297873907,0.02430166518564314,0.035826940999354795,0.014437170216923922,0.018562095550670232,0.012269768876085996,0.006248987943648698,-0.0033977794793261795
3995,2015-11-20,4742.4,1616.84,32.86,759.0,258.98,2382.41,577.95,415.27,658.94,7649.35,1362.51,418.74,0.00404803441676127,-0.0009330490932122348,0.0030525030525030417,0.013743639059181634,0.0010049474335187547,-0.0015380875745993894,0.0,0.0,0.0015351177176905484,-0.004208714760312815,-0.003364762162517909,0.005378151260504227
3996,2015-11-23,4736.62,1617.58,33.26,760.53,258.88,2381.03,579.38,423.59,658.94,7614.3,1347.26,414.58,-0.001218792172739458,0.0004576828876079464,0.012172854534388211,0.0020158102766798525,-0.00038613020310462876,-0.0005792453859745361,0.0024742624794531487,0.020035157849110252,0.0,-0.004582088674201068,-0.011192578403094289,-0.009934565601566692
3997,2015-11-24,4742.66,1618.02,35.09,756.0,258.27,2364.7,586.0,426.64,663.02,7548.19,1333.53,409.18,0.0012751709024578783,0.00027201127610387843,0.05502104630186433,-0.005956372529683174,-0.0023563040791100276,-0.006858376416928991,0.011426007111049685,0.007200358837555321,0.006191762527695932,-0.008682347687903103,-0.010191054436411662,-0.013025230353610806
3998,2015-11-25,4742.54,1618.71,35.22,760.21,258.2,2362.71,557.0,427.16,658.51,7645.65,1346.48,410.36,-2.5302256539516677e-05,0.00042644713909600895,0.0037047591906524957,0.005568783068783167,-0.0002710341890269641,-0.0008415443819510537,-0.04948805460750849,0.0012188261766361563,-0.006802208078187655,0.012911704660322654,0.009711067617526492,0.0028838164133144772
3999,2015-11-26,4742.54,1618.71,35.22,760.21,258.32,2386.58,561.3,429.94,662.83,7673.78,1348.97,406.33,0.0,0.0,0.0,0.0,0.0004647560030983655,0.010102805676532434,0.007719928186714409,0.006508100009364082,0.00656026484032135,0.003679216286385012,0.0018492662349236522,-0.009820645287065055
4000,2015-11-27,4746.49,1619.25,32.69,767.82,258.3,2347.39,535.22,429.94,659.04,7683.37,1345.82,399.98,0.0008328870183487158,0.0003335989769630565,-0.07183418512208972,0.010010391865405532,-7.742335088256613e-05,-0.01642098735428943,-0.04646356672011387,0.0,-0.005717906552208052,0.0012497100516304371,-0.002335114939546523,-0.015627691777619135
4001,2015-11-30,4724.25,1620.22,32.24,760.85,258.68,2329.55,509.09,430.05,651.81,7757.1,1347.04,391.38,-0.00468556765104311,0.000599042766713076,-0.013765677577240565,-0.00907764840717884,0.0014711575687185174,-0.00759993013517124,-0.04882104555136213,0.0002558496534399435,-0.01097050254916243,0.009596049650088423,0.0009065105288970088,-0.02150107505375276
4002,2015-12-01,4776.15,1625.87,32.85,772.88,258.59,2369.1,513.53,434.06,663.32,7842.04,1344.11,389.2,0.010985870773138506,0.0034871807532310672,0.018920595533498785,0.015811263718209956,-0.0003479202102986134,0.01697752784872608,0.008721444145435964,0.009324497151494082,0.017658520120894305,0.010949968416031686,-0.0021751395652690464,-0.0055700342378250944
4003,2015-12-02,4723.68,1624.64,29.16,754.67,258.52,2355.36,514.16,438.08,656.79,7862.66,1356.2,392.48,-0.010985835871988758,-0.0007565180487983936,-0.11232876712328765,-0.023561225546009812,-0.00027069878958962956,-0.00579967076104837,0.0012268027184390018,0.009261392434225746,-0.009844418983296244,0.002629417855557925,0.008994799532776376,0.008427543679342397
4004,2015-12-03,4654.55,1612.14,31.18,741.32,256.56,2363.74,551.48,432.36,661.54,7942.38,1366.46,392.67,-0.014634776276123751,-0.007694012211936219,0.06927297668038412,-0.017689851193236628,-0.007581618443447291,0.0035578425378708367,0.07258440952232781,-0.013056975894813694,0.00723214421656837,0.010139062352944261,0.007565255861967213,0.00048410110069307954
4005,2015-12-04,4752.17,1617.12,30.36,758.05,256.13,2345.81,536.35,432.36,642.31,7914.1,1354.52,390.5,0.020973026393528826,0.0030890617440171297,-0.026298909557408656,0.022567851939782946,-0.0016760212036170952,-0.007585436638547272,-0.02743526510480887,0.0,-0.029068537049913856,-0.0035606455495708067,-0.00873790670784369,-0.005526268877174223
4006,2015-12-07,4718.6,1621.63,25.91,755.32,256.41,2349.0,531.8,424.97,649.32,7980.8,1357.05,383.82,-0.007064141223903975,0.0027889086771546445,-0.14657444005270093,-0.0036013455576807685,0.0010931948619843368,0.0013598714303375559,-0.00848326652372533,-0.017092237949856592,0.010913733244072299,0.008427995602784843,0.0018678203348787559,-0.017106274007682498
4007,2015-12-08,4687.75,1619.3,25.5,754.55,255.39,2315.11,512.59,412.05,643.31,7905.06,1349.89,392.96,-0.006537956173441328,-0.0014368259097329306,-0.01582400617522195,-0.0010194354710587605,-0.003978003978004074,-0.01442741592166874,-0.036122602482135946,-0.03040214603383773,-0.00925583687550069,-0.009490276663993602,-0.0052761504734533116,0.023813245792298376
4008,2015-12-09,4651.01,1621.46,25.52,749.56,254.75,2283.78,550.27,412.74,645.4,7954.83,1347.98,385.09,-0.007837448669404279,0.0013339097140740996,0.0007843137254901489,-0.006613213173414678,-0.002505971259642026,-0.013532834292970919,0.07350904231452038,0.001674554058973321,0.003248822496152659,0.006295967393036728,-0.0014149301054160457,-0.020027483713355054
